Algorithm,Log Source,Log,P-Value,Min Adaptive Window,Max Adaptive Window,ADWIN Step Size,Detected Changepoints,Actual Changepoints for Log,F1-Score,Average Lag,Duration,Duration (Seconds),Seconds per Case,Window Size,SW Step Size,Complete-Window Size,Detection-Window Size,Stable Period,MRID,Epsilon
LCDD,without_noise,log_59_1687182010,,,,,"[220, 426, 658, 912, 1112, 1312, 2050, 2269, 2486, 2715, 2936, 3162, 3362]","[788, 1187, 2051, 3036, 3241]",0.5555555555555556,75.8,00:00:00,0.3037847299128771,7.861923651989572e-05,,,200.0,200.0,5.0,,
Martjushev ADWIN J,without_noise,log_18_1687181937,0.4,300.0,400.0,20.0,[],"[1013, 1325]",,,00:00:36,36.62316903937608,0.01735695215136307,,,,,,,
LCDD,without_noise,log_28_1687181955,,,,,[982],[983],1.0,1.0,00:00:00,0.037839592434465885,1.658176706155385e-05,,,200.0,200.0,20.0,,
Process Graph Metrics,without_noise,log_21_1687181940,0.005,300.0,400.0,,[850],[668],1.0,182.0,00:00:02,2.938493142835796,0.0015935429191083492,,,,,,,
Process Graph Metrics,without_noise,log_25_1687181949,0.0001,100.0,500.0,,"[950, 1447]","[783, 1163]",0.5,167.0,00:00:08,8.92393553070724,0.0049660186592694715,,,,,,,
LCDD,without_noise,log_48_1687181998,,,,,"[300, 652, 1005, 1305, 1642, 2361, 2810, 3139, 3479, 3814]","[1144, 2359, 2666, 3482, 3756]",0.6666666666666666,69.2,00:00:00,0.14304189011454582,3.332756060450742e-05,,,300.0,300.0,20.0,,
LCDD,without_noise,log_12_1687181931,,,,,[],"[969, 1263]",,,00:00:00,0.02651067730039358,1.4935592845292159e-05,,,200.0,200.0,10.0,,
Process Graph Metrics,without_noise,log_22_1687181941,0.0001,100.0,400.0,,"[1340, 3658]","[1159, 1512, 2578, 3506, 3838]",0.5714285714285715,162.0,00:00:03,3.177813938818872,0.0006774278275034901,,,,,,,
LCDD,without_noise,log_55_1687182006,,,,,[1184],"[1185, 1392]",0.6666666666666666,1.0,00:00:00,0.046797861345112324,1.7005036825985584e-05,,,300.0,300.0,200.0,,
Process Graph Metrics,without_noise,log_85_1687182048,0.0001,400.0,400.0,,[1460],"[1308, 1543]",0.6666666666666666,83.0,00:00:38,38.19880537036806,0.014771386454125315,,,,,,,
Martjushev ADWIN J,without_noise,log_3_1687181920,0.4,300.0,500.0,10.0,[],"[1041, 1298]",,,00:00:44,44.24987672828138,0.019510527657972388,,,,,,,
Process Graph Metrics,without_noise,log_87_1687182053,0.05,200.0,500.0,,"[1423, 3083, 3698]","[1385, 2862, 3527, 3777]",0.5714285714285715,58.5,00:00:08,8.223006265237927,0.0017973784186312409,,,,,,,
