Algorithm,Log Source,Log,Window Size,SW Step Size,Detected Changepoints,Actual Changepoints for Log,F1-Score,Average Lag,Duration,Duration (Seconds),Seconds per Case,Complete-Window Size,Detection-Window Size,Stable Period,P-Value,Min Adaptive Window,Max Adaptive Window,ADWIN Step Size,MRID,Epsilon
Bose WC,without_noise,log_22_1687181941,100.0,2.0,"[1470, 2578, 3560]","[1159, 1512, 2578, 3506, 3838]",0.7499999999999999,32.0,00:00:30,30.86725360993296,0.0065801009614011,,,,,,,,,
Bose J,without_noise,log_22_1687181941,200.0,2.0,"[1368, 2576, 3634, 3638]","[1159, 1512, 2578, 3506, 3838]",0.888888888888889,118.5,00:00:36,36.951422839425504,0.0078770886462215,,,,,,,,,
Bose WC,without_noise,log_22_1687181941,200.0,2.0,"[1578, 1586, 2678, 3772]","[1159, 1512, 2578, 3506, 3838]",0.6666666666666665,77.33333333333333,00:00:34,34.290870116092265,0.0073099275455323,,,,,,,,,
Bose J,with_noise_10,log_22_1687181941,400.0,2.0,"[1268, 2578, 3672]","[1159, 1512, 2578, 3506, 3838]",0.7499999999999999,91.66666666666669,00:00:59,59.08380361273885,0.0125951403992195,,,,,,,,,
Bose WC,with_noise_10,log_22_1687181941,400.0,2.0,"[1668, 2576, 3718]","[1159, 1512, 2578, 3506, 3838]",0.7499999999999999,92.66666666666669,00:01:10,70.08271533250809,0.0149398242021974,,,,,,,,,
Bose J,with_noise_20,log_22_1687181941,600.0,2.0,"[1300, 2576]","[1159, 1512, 2578, 3506, 3838]",0.5714285714285715,71.5,00:01:01,61.48097708076239,0.0131061558475298,,,,,,,,,
Bose WC,with_noise_20,log_22_1687181941,600.0,2.0,"[1454, 2694, 3768]","[1159, 1512, 2578, 3506, 3838]",0.7499999999999999,81.33333333333333,00:01:23,83.59606531169266,0.017820521277274,,,,,,,,,
Bose J,with_noise_20,log_23_1687181942,200.0,2.0,"[342, 822, 2114, 2638, 3148, 4206, 5106]","[859, 1255, 2629, 4001, 4377]",0.5,72.33333333333333,00:07:22,442.6378208231181,0.0798264780564685,,,,,,,,,
Bose WC,with_noise_20,log_23_1687181942,200.0,2.0,"[822, 2628, 4170, 5106]","[859, 1255, 2629, 4001, 4377]",0.6666666666666665,69.0,00:07:19,439.1913526281714,0.0792049328454772,,,,,,,,,
Bose J,without_noise,log_23_1687181942,300.0,2.0,"[1178, 2186, 2604, 4204, 4840, 5140]","[859, 1255, 2629, 4001, 4377]",0.5454545454545454,91.66666666666669,00:07:14,434.6125277886167,0.078379175435278,,,,,,,,,
Bose WC,without_noise,log_23_1687181942,300.0,2.0,"[846, 2186, 2636, 4216, 5140]","[859, 1255, 2629, 4001, 4377]",0.6,60.333333333333336,00:07:50,470.143756502308,0.084786971416106,,,,,,,,,
Bose J,with_noise_20,log_23_1687181942,500.0,2.0,"[1152, 2638, 4174]","[859, 1255, 2629, 4001, 4377]",0.7499999999999999,95.0,00:09:49,589.8979886788875,0.1063837671197272,,,,,,,,,
Bose WC,with_noise_20,log_23_1687181942,500.0,2.0,"[842, 2638, 4232]","[859, 1255, 2629, 4001, 4377]",0.7499999999999999,57.0,00:10:19,619.8964659310877,0.1117937720344612,,,,,,,,,
Bose J,without_noise,log_23_1687181942,600.0,2.0,"[1146, 2596, 4174]","[859, 1255, 2629, 4001, 4377]",0.7499999999999999,105.0,00:10:13,613.6947862980887,0.1106753446885642,,,,,,,,,
Bose WC,without_noise,log_23_1687181942,600.0,2.0,"[842, 1146, 2670, 4230]","[859, 1255, 2629, 4001, 4377]",0.888888888888889,78.5,00:10:38,638.1081517348066,0.1150781157321562,,,,,,,,,
Bose J,without_noise,log_24_1687181949,100.0,2.0,"[1098, 1130]","[994, 1238]",1.0,106.0,00:00:20,20.680002806708217,0.0085951798864123,,,,,,,,,
Bose WC,without_noise,log_24_1687181949,100.0,2.0,"[1098, 1132]","[994, 1238]",1.0,105.0,00:00:20,20.294748526997864,0.0084350575756433,,,,,,,,,
Bose J,without_noise,log_24_1687181949,200.0,2.0,[1114],"[994, 1238]",0.6666666666666666,120.0,00:00:19,19.370098690502346,0.0080507475854124,,,,,,,,,
Bose WC,without_noise,log_24_1687181949,200.0,2.0,"[1100, 1130]","[994, 1238]",1.0,107.0,00:00:20,20.408712439239025,0.0084824241227094,,,,,,,,,
Bose J,with_noise_10,log_24_1687181949,300.0,2.0,[992],"[994, 1238]",0.6666666666666666,2.0,00:00:32,32.03643396124244,0.0133152260853044,,,,,,,,,
Bose WC,with_noise_10,log_24_1687181949,300.0,2.0,[1134],"[994, 1238]",0.6666666666666666,104.0,00:00:41,41.424804013222456,0.0172172917760691,,,,,,,,,
