Algorithm,Log Source,Log,Window Size,SW Step Size,Detected Changepoints,Actual Changepoints for Log,F1-Score,Average Lag,Duration,Duration (Seconds),Seconds per Case
Maaradji Runs,without_noise,log_75_1687182036,50,2,[],"[1099, 1445]",,,00:00:05,5.737970691174269,0.0024679443833007
Maaradji Runs,with_noise_20,log_76_1687182037,100,2,[],"[1056, 1741, 2740]",,,00:00:02,2.494093823246658,0.0007620207220429
Maaradji Runs,without_noise,log_76_1687182037,150,2,"[1010, 1694, 2694]","[1056, 1741, 2740]",1.0,46.333333333333336,00:00:01,1.312882418744266,0.0004011250897477
Maaradji Runs,without_noise,log_76_1687182037,200,2,"[992, 1676, 2676]","[1056, 1741, 2740]",1.0,64.33333333333333,00:00:01,1.2321006255224347,0.0003764438208134
Maaradji Runs,with_noise_10,log_76_1687182037,300,2,[],"[1056, 1741, 2740]",,,00:00:01,1.867649609223008,0.000570623161999
Maaradji Runs,with_noise_20,log_76_1687182037,50,2,[],"[1056, 1741, 2740]",,,00:00:02,2.645301558077336,0.0008082192355873
Maaradji Runs,with_noise_20,log_77_1687182038,100,2,[],"[560, 1784, 3134]",,,00:00:07,7.561279970221221,0.0016702628606629
Maaradji Runs,with_noise_20,log_77_1687182038,150,2,[],"[560, 1784, 3134]",,,00:00:06,6.608141401782632,0.0014597175616926
Maaradji Runs,without_noise,log_77_1687182038,200,2,"[494, 1736, 3086]","[560, 1784, 3134]",1.0,54.0,00:00:17,17.321216139011085,0.0038262019304199
Maaradji Runs,with_noise_20,log_77_1687182038,300,2,[],"[560, 1784, 3134]",,,00:00:07,7.878266480751336,0.0017402841795342
Maaradji Runs,without_noise,log_77_1687182038,50,2,"[556, 1778, 3136]","[560, 1784, 3134]",1.0,4.0,00:00:09,9.433638478629293,0.0020838609407177
Maaradji Runs,with_noise_10,log_78_1687182040,100,2,[],[743],,,00:00:00,0.8415408181026578,0.0003763599365396
Maaradji Runs,with_noise_10,log_78_1687182040,150,2,[],[743],,,00:00:00,0.8092367425560951,0.0003619126755617
Maaradji Runs,with_noise_20,log_78_1687182040,250,2,[],[743],,,00:00:01,1.33289291895926,0.0005961059566007
Maaradji Runs,without_noise,log_78_1687182040,300,2,[646],[743],1.0,97.0,00:00:00,0.5802631760016084,0.0002595094704837
Maaradji Runs,with_noise_20,log_78_1687182040,50,2,[],[743],,,00:00:01,1.2908231727778912,0.0005772912221725
Maaradji Runs,without_noise,log_79_1687182041,150,2,[],[532],,,00:00:49,49.958792861551046,0.0272700834397112
Maaradji Runs,with_noise_10,log_79_1687182041,200,2,[],[532],,,00:00:06,6.6157809011638165,0.0036112341163557
Maaradji Runs,without_noise,log_79_1687182041,250,2,[],[532],,,00:00:49,49.427251976914704,0.0269799410354337
Maaradji Runs,with_noise_20,log_79_1687182041,300,2,[],[532],,,00:00:06,6.775862462818623,0.0036986148814512
Maaradji Runs,with_noise_10,log_7_1687181925,100,2,[],"[920, 1720, 2103, 3052, 3413]",,,00:00:01,1.922015769407153,0.0004045497304582
Maaradji Runs,with_noise_10,log_7_1687181925,150,2,[],"[920, 1720, 2103, 3052, 3413]",,,00:00:02,2.07333271857351,0.0004363992251259
Maaradji Runs,with_noise_10,log_7_1687181925,200,2,[],"[920, 1720, 2103, 3052, 3413]",,,00:00:02,2.046544551849365,0.000430760798116
Maaradji Runs,without_noise,log_7_1687181925,250,2,"[840, 1676, 3008]","[920, 1720, 2103, 3052, 3413]",0.7499999999999999,56.0,00:00:01,1.5596978878602386,0.0003282883367417
Maaradji Runs,without_noise,log_7_1687181925,50,2,[906],"[920, 1720, 2103, 3052, 3413]",0.3333333333333333,14.0,00:00:01,1.1544364085420966,0.0002429880885165
